,Date,Approval Index,Strongly Approve,Strongly Disapprove,Total Approve,Total Disapprove,Retail Price of Gasoline (Dollars per Gallon),Year
0,2017-01-16,+13,41,28,62.0,37,2.467,2017
1,2017-01-09,+7,37,30,58.0,40,2.496,2017
2,2016-12-19,+4,37,33,57.0,42,2.375,2016
3,2016-12-12,+5,36,31,56.0,43,2.347,2016
4,2016-12-05,-1,32,33,54.0,44,2.3209999999999997,2016
5,2016-11-28,+3,35,32,55.0,43,2.2680000000000002,2016
6,2016-11-21,+2,35,33,53.0,45,2.269,2016
7,2016-11-14,+3,35,32,53.0,45,2.298,2016
8,2016-11-07,-1,34,35,52.0,47,2.345,2016
9,2016-10-31,-5,30,35,54.0,44,2.3409999999999997,2016
10,2016-10-24,-3,32,35,52.0,46,2.353,2016
11,2016-10-17,-9,30,39,51.0,48,2.367,2016
12,2016-10-10,-5,32,37,51.0,48,2.381,2016
13,2016-10-03,-5,32,37,52.0,48,2.354,2016
14,2016-09-26,-12,29,41,47.0,52,2.334,2016
15,2016-09-19,-10,31,41,47.0,52,2.333,2016
16,2016-09-12,-9,29,38,51.0,48,2.31,2016
17,2016-09-05,-9,29,38,50.0,49,2.329,2016
18,2016-08-29,-8,31,39,50.0,49,2.3409999999999997,2016
19,2016-08-22,-8,30,38,50.0,49,2.299,2016
20,2016-08-15,-7,31,38,51.0,48,2.256,2016
21,2016-08-08,-11,29,40,48.0,51,2.256,2016
22,2016-08-01,-4,33,37,52.0,46,2.267,2016
23,2016-07-25,-13,29,42,46.0,53,2.289,2016
24,2016-07-18,-10,28,38,48.0,51,2.336,2016
25,2016-07-11,-11,28,39,48.0,51,2.359,2016
26,2016-07-04,-8,29,37,51.0,48,2.396,2016
27,2016-06-27,-8,30,38,50.0,49,2.432,2016
28,2016-06-20,-9,30,39,50.0,49,2.455,2016
29,2016-06-13,-10,28,38,49.0,50,2.499,2016
30,2016-06-06,-6,30,36,52.0,46,2.4819999999999998,2016
31,2016-05-30,-9,29,38,50.0,48,2.44,2016
32,2016-05-23,-11,27,38,50.0,50,2.403,2016
33,2016-05-16,-10,29,39,49.0,50,2.345,2016
34,2016-05-09,-9,30,39,50.0,49,2.325,2016
35,2016-05-02,-9,27,36,51.0,48,2.342,2016
36,2016-04-25,-6,30,36,52.0,47,2.265,2016
37,2016-04-18,-10,28,38,49.0,50,2.24,2016
38,2016-04-11,-6,30,36,52.0,46,2.173,2016
39,2016-04-04,-11,27,38,48.0,51,2.185,2016
40,2016-03-28,-14,25,39,49.0,50,2.169,2016
41,2016-03-21,-5,31,36,52.0,47,2.109,2016
42,2016-03-14,-8,30,38,51.0,49,2.062,2016
43,2016-03-07,-16,25,41,47.0,52,1.943,2016
44,2016-02-29,-7,30,37,50.0,50,1.8869999999999998,2016
45,2016-02-22,-12,27,39,50.0,49,1.837,2016
46,2016-02-15,-13,27,40,47.0,52,1.834,2016
